scenario_approach;run_id;approach;scenario;t_e2e_ms;t_protocol_overhead_ms;t_api_logic_ms;tools_called;api_status_codes;success;judge_score;judge_reason
dirty_direct;1;direct;dirty;11127.728;0.005;4111.912;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;2;direct;dirty;11450.925;0.005;4093.504;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;3;direct;dirty;11259.173;0.004;4075.938;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;4;direct;dirty;11001.356;0.004;4108.703;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;5;direct;dirty;11134.648;0.004;4113.079;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;6;direct;dirty;16395.66;0.006;6184.972;get_inventory_direct, get_inventory_direct, get_product_stock_direct;200, 200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;7;direct;dirty;10968.869;0.004;4094.228;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;8;direct;dirty;10855.469;0.004;4108.578;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;9;direct;dirty;11358.264;0.004;4073.413;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;10;direct;dirty;7994.85;0.002;2048.476;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;11;direct;dirty;11265.731;0.004;4113.72;get_inventory_direct, get_product_stock_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;12;direct;dirty;10978.777;0.004;4075.765;get_inventory_direct, get_inventory_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;13;direct;dirty;15199.769;0.006;6142.4;get_inventory_direct, get_inventory_direct, get_product_stock_direct;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;14;direct;dirty;10978.729;0.004;4087.72;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;15;direct;dirty;6967.05;0.002;2032.8;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;16;direct;dirty;12206.181;0.004;4079.934;get_inventory_direct, get_product_stock_direct;200, 200;True;0.767;Baseline 2/3 passed. Failed: second_item_stock | Robustness bonus: +0.1 (robustness_error_noted passed) | Robustness bonus missed: robustness_uncertainty
dirty_direct;17;direct;dirty;11448.388;0.009;4108.063;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;18;direct;dirty;10925.357;0.004;4092.255;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;19;direct;dirty;11343.872;0.004;4099.769;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;20;direct;dirty;11724.224;0.004;4104.452;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;21;direct;dirty;10279.826;0.004;4105.9;get_inventory_direct, get_inventory_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;22;direct;dirty;16732.786;0.006;6118.739;get_inventory_direct, get_inventory_direct, get_product_stock_direct;200, 200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;23;direct;dirty;11300.348;0.005;4114.502;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;24;direct;dirty;11023.489;0.004;4081.295;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;25;direct;dirty;11520.502;0.004;4128.829;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;26;direct;dirty;14572.654;0.006;6141.426;get_inventory_direct, get_inventory_direct, get_product_stock_direct;200, 200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;27;direct;dirty;10784.736;0.004;4086.267;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;28;direct;dirty;11274.206;0.004;4097.207;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;29;direct;dirty;12296.979;0.004;4094.869;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;30;direct;dirty;11179.63;0.004;4092.25;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;31;direct;dirty;11964.474;0.004;4103.749;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;32;direct;dirty;10645.871;0.004;4135.815;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;33;direct;dirty;12289.406;0.004;4088.591;get_inventory_direct, get_product_stock_direct;200, 200;True;0.767;Baseline 2/3 passed. Failed: second_item_stock | Robustness bonus: +0.1 (robustness_error_noted passed) | Robustness bonus missed: robustness_uncertainty
dirty_direct;34;direct;dirty;10827.636;0.005;4120.282;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;35;direct;dirty;10967.943;0.004;4104.577;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;36;direct;dirty;12241.111;0.004;4105.097;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;37;direct;dirty;11111.648;0.004;4118.359;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;38;direct;dirty;11982.146;0.005;4077.051;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;39;direct;dirty;10778.271;0.004;4084.328;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;40;direct;dirty;11227.177;0.004;4078.925;get_inventory_direct, get_inventory_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;41;direct;dirty;7095.889;0.002;2026.994;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;42;direct;dirty;11329.182;0.004;4094.486;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;43;direct;dirty;11242.497;0.004;4111.275;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;44;direct;dirty;11262.763;0.004;4095.399;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;45;direct;dirty;11441.869;0.004;4091.378;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
